date,entree_fiction,entree_doc,entre_anim,recette_fiction,recette_doc,recette_anim,nb_seance_fiction,nb_seance_doc,nb_seance_anim
1996,104 767 434,2 150 887,9 052 468,569 143 996,10 668 805,44 943 022,"3 363 103,00","46 582,00","178 777,00"
1997,124 682 612,530 467,4 290 806,674 049 300,2 668 573,20 710 072,"3 745 419,00","23 136,00","85 350,00"
1998,143 035 454,398 665,10 356 236,784 727 664,1 959 503,52 190 853,"3 871 365,00","18 426,00","178 825,00"
1999,123 943 129,763 205,12 886 444,682 534 812,4 054 524,64 667 217,"4 188 186,00","26 903,00","274 078,00"
2000,132 425 315,334 096,16 465 323,734 229 238,1 678 178,83 250 002,"4 308 331,00","18 585,00","360 345,00"
2001,154 074 311,1 773 307,12 378 313,856 717 433,9 581 635,64 714 155,"4 572 757,00","49 157,00","334 880,00"
2002,143 948 374,2 533 481,17 579 483,824 210 181,13 597 440,93 610 339,"4 463 594,00","72 501,00","499 639,00"
2003,140 735 359,590 424,17 749 186,828 666 392,3 289 143,96 874 651,"4 877 668,00","29 494,00","421 175,00"
2004,150 617 892,6 519 942,22 693 854,898 504 920,37 300 345,126 516 519,"4 848 330,00","219 020,00","486 645,00"
2005,140 556 090,2 675 039,16 382 743,847 970 851,15 233 789,91 500 950,"4 934 783,00","96 587,00","524 915,00"
2006,145 205 582,1 665 464,26 916 820,887 335 699,9 169 657,153 544 034,"4 976 730,00","87 392,00","720 577,00"
2007,132 065 959,2 980 368,24 345 857,807 397 284,16 611 063,143 147 469,"4 923 643,00","146 042,00","641 836,00"
2008,155 370 546,1 705 996,17 193 977,956 262 948,9 837 715,100 289 056,"5 429 126,00","97 222,00","525 220,00"
2009,154 730 853,3 011 289,28 643 926,964 223 170,19 054 899,180 166 035,"5 270 447,00","125 066,00","813 309,00"
2010,149 371 855,4 752 895,30 302 529,944 159 423,28 262 570,198 590 807,"5 298 686,00","172 643,00","773 012,00"
2011,166 903 898,1 322 414,32 460 828,1 067 912 885,7 907 300,212 134 793,"5 478 285,00","79 189,00","904 530,00"
2012,153 144 998,1 781 391,26 419 567,1 000 216 983,10 540 758,170 069 765,"5 537 226,00","90 317,00","843 295,00"
2013,146 440 374,3 128 726,25 644 706,966 380 347,17 745 630,165 144 480,"5 713 540,00","146 271,00","753 920,00"
2014,162 833 808,2 047 968,23 348 442,1 068 451 712,11 854 413,136 082 057,"6 096 701,00","125 148,00","761 105,00"
2015,149 825 049,2 235 246,29 809 771,1 006 259 905,13 375 354,178 008 246,"5 966 883,00","126 643,00","952 218,00"
2016,155 130 155,3 267 013,33 868 603,1 047 786 217,19 560 208,203 292 005,"6 257 788,00","153 796,00","920 626,00"
2017,155 829 348,2 874 953,31 020 353,1 069 189 261,16 915 890,186 909 772,"6 401 584,00","184 038,00","925 889,00"
2018,149 720 290,2 171 810,24 315 711,1 035 815 402,12 860 873,146 756 118,"6 611 391,00","154 211,00","894 971,00"
2019,156 568 540,2 064 665,32 908 452,1 107 960 022,12 581 326,206 446 174,"6 616 497,00","124 564,00","1 133 105,00"
2020,45 669 290,958 064,5 664 803,312 724 823,5 976 842,35 077 952,"3 137 103,00","75 111,00","430 827,00"
2021,71 669 983,1 087 525,14 616 685,531 442 282,6 455 424,94 217 116,"3 908 973,00","70 201,00","696 960,00"
2022,111 131 471,1 856 609,18 773 953,841 575 586,11 256 016,124 285 075,"6 428 658,00","122 413,00","994 044,00"
2023,125 844 620,1 534 153,29 742 275,957 943 576,9 684 970,212 752 565,"6 311 749,00","94 175,00","1 176 086,00"
