uid,genre,aired,episodes,score,start,end
28891,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25.0,8.82,"Oct 4, 2015","Mar 27, 2016"
23273,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22.0,8.83,"Oct 10, 2014","Mar 20, 2015"
34599,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13.0,8.83,"Jul 7, 2017","Sep 29, 2017"
5114,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64.0,9.23,"Apr 5, 2009","Jul 4, 2010"
31758,"['Action', 'Mystery', 'Supernatural', 'Vampire']","Jan 6, 2017",1.0,8.83,"Jan 6, 2017",
37510,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13.0,8.89,"Jan 7, 2019","Apr 1, 2019"
199,"['Adventure', 'Supernatural', 'Drama']","Jul 20, 2001",1.0,8.9,"Jul 20, 2001",
38000,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26.0,8.92,"Apr 6, 2019","Sep 28, 2019"
35247,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7.0,8.93,"Aug 12, 2017","Aug 13, 2017"
2904,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25.0,8.93,"Apr 6, 2008","Sep 28, 2008"
32935,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10.0,8.94,"Oct 8, 2016","Dec 10, 2016"
34096,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12.0,8.94,"Jan 9, 2017","Mar 27, 2017"
15335,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']","Jul 6, 2013",1.0,8.95,"Jul 6, 2013",
918,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 4, 2006 to Mar 25, 2010",201.0,8.97,"Apr 4, 2006","Mar 25, 2010"
4181,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24.0,8.97,"Oct 3, 2008","Mar 27, 2009"
15417,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13.0,8.98,"Oct 4, 2012","Mar 28, 2013"
30276,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12.0,8.68,"Oct 5, 2015","Dec 21, 2015"
16664,"['Fantasy', 'Historical']","Nov 23, 2013",1.0,8.28,"Nov 23, 2013",
4672,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']","Jul 12, 2008",1.0,8.06,"Jul 12, 2008",
8038,"['Comedy', 'Josei', 'Music', 'Romance']","Apr 7, 2010",1.0,7.88,"Apr 7, 2010",
7588,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']","Apr 16, 2010 to Jul 2, 2010",12.0,7.86,"Apr 16, 2010","Jul 2, 2010"
1253,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12.0,7.86,"Dec 17, 2005","Feb 6, 2007"
20767,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2.0,7.86,"Feb 17, 2014","Jul 17, 2014"
1425,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 3, 1977 to Oct 6, 1980",155.0,7.86,"Oct 3, 1977","Oct 6, 1980"
35363,"['Slice of Life', 'Comedy', 'Fantasy']","Sep 20, 2017",1.0,7.86,"Sep 20, 2017",
22673,"['Comedy', 'Sports']","Jan 29, 2014 to Sep 24, 2014",9.0,7.86,"Jan 29, 2014","Sep 24, 2014"
6862,"['Comedy', 'Music', 'School', 'Slice of Life']","Jan 19, 2010",1.0,7.86,"Jan 19, 2010",
5680,"['Slice of Life', 'Comedy', 'Music', 'School']","Apr 3, 2009 to Jun 26, 2009",13.0,7.86,"Apr 3, 2009","Jun 26, 2009"
451,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Dec 20, 2003",1.0,7.86,"Dec 20, 2003",
30364,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Sep 18, 2015",1.0,7.86,"Sep 18, 2015",
36369,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Sep 27, 2019",4.0,7.86,"Sep 27, 2019",
27633,"['Comedy', 'Romance', 'School']","Sep 24, 2014 to Feb 25, 2015",6.0,7.86,"Sep 24, 2014","Feb 25, 2015"
31637,"['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12.0,7.86,"Jan 9, 2016","Mar 26, 2016"
38145,"['Slice of Life', 'Comedy']","Jan 9, 2019 to Mar 27, 2019",12.0,7.86,"Jan 9, 2019","Mar 27, 2019"
552,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54.0,7.86,"Mar 7, 1999","Mar 26, 2000"
1689,"['Slice of Life', 'Drama', 'Romance']","Mar 3, 2007",3.0,7.86,"Mar 3, 2007",
8609,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']","Apr 14, 2010",1.0,7.86,"Apr 14, 2010",
34944,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']","Mar 3, 2018",1.0,7.86,"Mar 3, 2018",
36214,"['Romance', 'School', 'Shoujo Ai']","Jun 9, 2018",1.0,7.86,"Jun 9, 2018",
32863,"['Action', 'Comedy', 'School', 'Shounen']","Mar 11, 2016 to May 20, 2016",8.0,7.86,"Mar 11, 2016","May 20, 2016"
33064,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26.0,7.87,"Feb 25, 2017","Mar 1, 2019"
2265,"['Action', 'Mecha']","Aug 9, 1986",1.0,7.87,"Aug 9, 1986",
11001,"['Action', 'Comedy', 'Military', 'Romance']","Jun 16, 2012",1.0,7.87,"Jun 16, 2012",
39940,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12.0,7.87,"Oct 12, 2019","Dec 28, 2019"
322,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12.0,7.87,"Oct 14, 2005","Dec 30, 2005"
38958,['Comedy'],"Dec 31, 2018",1.0,7.87,"Dec 31, 2018",
4472,"['Comedy', 'Parody', 'School', 'Slice of Life']","Sep 26, 2008",1.0,7.87,"Sep 26, 2008",
97,"['Action', 'Sci-Fi', 'Adventure']","Apr 8, 2003 to Sep 30, 2003",26.0,7.87,"Apr 8, 2003","Sep 30, 2003"
468,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']","Mar 6, 2004",1.0,7.87,"Mar 6, 2004",
7645,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49.0,7.87,"Feb 7, 2010","Jan 30, 2011"
